symbol	keggID
ATP5F1A	05012
ATP5F1A	05016
ALDH7A1	00010
ALDH7A1	00053
ALDH7A1	00071
ALDH7A1	00260
ALDH7A1	00280
ALDH7A1	00300
ALDH7A1	00310
ALDH7A1	00330
ALDH7A1	00340
ALDH7A1	00380
ALDH7A1	00410
ALDH7A1	00561
ALDH7A1	00620
ALDH7A1	00640
ALDH7A1	01100
ATP5F1B	00190
ATP5F1B	01100
ATP5F1B	05010
ATP5F1B	05012
ATP5F1B	05016
ATP5F1C	00190
ATP5F1C	01100
ATP5F1C	05010
ATP5F1C	05012
ATP5F1C	05016
ATP5F1D	00190
ATP5F1D	01100
ATP5F1D	05010
ATP5F1D	05012
ATP5F1D	05016
ATP5F1E	00190
ATP5F1E	01100
ATP5F1E	05010
ATP5F1E	05012
ATP5F1E	05016
ATP5PB	00190
ATP5PB	01100
ATP5PB	05010
ATP5PB	05012
ATP5PB	05016
ATP5MC1	00190
ATP5MC1	01100
ATP5MC1	05010
ATP5MC1	05012
ATP5MC1	05016
ATP5MC2	00190
ATP5MC2	01100
ATP5MC2	05010
ATP5MC2	05012
ATP5MC2	05016
ATP5MC3	00190
ATP5MC3	01100
ATP5MC3	05010
ATP5MC3	05012
ATP5MC3	05016
ATP5ME	00190
ATP5ME	01100
ATP5PF	00190
ATP5PF	01100
ATP5PF	05010
ATP5PF	05012
ATP5PF	05016
ATP6V1A	00190
ATP6V1A	01100
ATP6V1A	04145
ATP6V1A	04966
ATP6V1A	05110
ATP6V1A	05120
ATP6V1A	05323
ATP6V1B1	00190
ATP6V1B1	01100
ATP6V1B1	04145
ATP6V1B1	04966
ATP6V1B1	05110
ATP6V1B1	05120
ATP6V1B1	05323
ATP6V1B2	00190
ATP6V1B2	01100
ATP6V1B2	04145
ATP6V1B2	04966
ATP6V1B2	05110
ATP6V1B2	05120
ATP6V1B2	05323
ATP6V0C	00190
ATP6V0C	01100
ATP6V0C	04142
ATP6V0C	04145
ATP6V0C	04966
ATP6V0C	05110
ATP6V0C	05120
ATP6V0C	05323
ATP6V1C1	00190
ATP6V1C1	01100
ATP6V1C1	04145
ATP6V1C1	04966
ATP6V1C1	05110
ATP6V1C1	05120
ATP6V1C1	05323
ATP6V1E1	00190
