symbol	reactomeID
COMMD3-BMI1	R-HSA-2990846
COMMD3-BMI1	R-HSA-2990846
COMMD3-BMI1	R-HSA-3108214
COMMD3-BMI1	R-HSA-3108232
COMMD3-BMI1	R-HSA-3108232
COMMD3-BMI1	R-HSA-3899300
COMMD3-BMI1	R-HSA-392499
COMMD3-BMI1	R-HSA-392499
COMMD3-BMI1	R-HSA-4551638
COMMD3-BMI1	R-HSA-4570464
COMMD3-BMI1	R-HSA-4655427
COMMD3-BMI1	R-HSA-597592
COMMD3-BMI1	R-HSA-597592
COMMD3-BMI1	R-HSA-6807070
COMMD3-BMI1	R-HSA-6807070
COMMD3-BMI1	R-HSA-73857
COMMD3-BMI1	R-HSA-74160
COMMD3-BMI1	R-HSA-8878171
COMMD3-BMI1	R-HSA-8939243
COMMD3-BMI1	R-HSA-8943724
COMMD3-BMI1	R-HSA-8943724
COMMD3-BMI1	R-HSA-8953750
